Data,SIH_Sul_I_Old,SIH_Sul_J_Old,SIH_Sul_I_Kid,SIH_Sul_J_Kid,SIH_GV_I_Old,SIH_GV_J_Old,SIH_GV_I_Kid,SIH_GV_J_Kid,pm25.gv,pm10.gv,so2.gv,no2.gv,co.gv,o3.gv,co.sul,o3.sul,no2.sul,so2.sul,pm10.sul,pm25.sul
29/01/2015,4,1,0,0,14,5,1,1,8.5,30.39100242,5.856458333,8.439583333,342.8817826,17.76364583,277.6285317,35.855,10.02428895,16.88958333,25.75412899,10.4265303
30/01/2015,2,0,0,0,12,12,0,9,11.95652174,35.57891414,9.491083333,10.05375,422.313,19.18020833,371.8925833,39.49636364,14.34877841,55.61895833,36.11864245,12.22635417
31/01/2015,0,0,0,1,1,1,0,1,9.25,26.22403382,8.626884058,9.005277778,437.0696667,22.03,377.2170455,34.04347826,10.40880952,13.2144837,27.83895,9.721974638
01/02/2015,1,1,0,0,9,5,0,3,9.833333333,21.84053945,7.464479167,8.677222222,329.8096413,25.4004529,330.1211111,,9.119166667,14.96509964,22.93153193,6.6725
02/02/2015,3,1,0,3,14,3,0,6,8.583333333,32.89363354,5.7675,8.498611111,385.1531667,21.08895833,226.7071672,29.25375,8.210246075,24.86660326,30.17940556,5.854431612
03/02/2015,0,0,0,0,13,5,0,10,9.208333333,33.54819939,6.698125,8.304861111,388.79325,22.059375,261.0295833,39.38444444,8.061994048,36.68,31.36436742,7.510803895
04/02/2015,1,1,0,0,12,7,0,4,10.18452381,34.18178793,10.8378125,8.758333333,367.89925,25.06604167,314.5950794,37.65636364,10.29171196,8.52625,34.94170238,7.842182018
05/02/2015,2,0,0,0,10,1,2,12,12,27.4,7.436354167,14.40458333,403.4527157,28.20360294,454.0076389,37.25705882,18.24236111,13.155,25.83022294,7.5078125
06/02/2015,1,0,0,0,14,1,0,6,12.95833333,33.88756594,6.941666667,15.32805556,467.7163242,28.86180556,570.0434722,,16.37141304,15.21083333,21.18041667,8.345505952
07/02/2015,2,0,0,0,4,3,0,7,8.041666667,19.02085571,6.450729167,12.98016414,380.32725,36.07361111,463.9309028,,14.92125,15.06666667,19.52455763,5.737111742
08/02/2015,2,0,0,0,4,5,0,3,6.4375,17.61292517,6.711458333,9.936904762,332.942631,37.44069444,455.1148611,,12.72513889,13.99541667,22.07333333,4.80203869
09/02/2015,0,0,0,0,9,5,0,8,9.5,26.87931556,7.434573864,11.95435606,437.6853841,23.43614734,404.9757971,,11.89199728,11.12125,21.63852155,5.830453092
10/02/2015,3,3,0,3,21,3,1,15,8.75,29.19567962,7.004375,8.958498677,428.8368333,20.16389583,285.6429167,22.5725,8.711216238,7.585,20.40493536,5.110694444
11/02/2015,0,0,0,1,17,5,1,8,8.958333333,29.57883023,7.482083333,11.27692029,432.9716667,21.970625,275.3096429,33.81083333,8.070973732,6.183478261,24.48179542,4.631583333
12/02/2015,1,0,0,0,13,4,1,7,11.125,32.68483437,6.101770833,9.797234848,409.326721,22.08113678,278.8565845,31.45478261,9.162121212,6.7625,32.46126212,5.508993056
13/02/2015,0,1,0,0,9,4,0,13,11.1875,31.17180568,11.24301178,9.303333333,412.9899167,20.77197917,248.975308,34.38625,10.47432971,7.523333333,26.77302536,5.998244048
